number,business_name,website
+19802994895,OrthoCarolina Shelby,https://www.orthocarolina.com/locations/south-park?utm_source=GMBSocialClimb&utm_medium=OrthoCarolinaSouthPark
+19802994895,EmergeOrtho-Roanoke Rapids,https://www.orthocarolina.com/locations/south-park?utm_source=GMBSocialClimb&utm_medium=OrthoCarolinaSouthPark
+12525375631,Atrium Health Orthopaedics Surgery,https://rymap.org/business/emergeortho-roanoke-rapids-bx7ycq
+12525375631,OrthoCarolina Boone,https://rymap.org/business/emergeortho-roanoke-rapids-bx7ycq
+18282641100,CaroMont Orthopedic & Sports Medicine Center,https://www.orthocarolina.com/locations/boone?utm_source=GMBSocialClimb&utm_medium=OrthoCarolinaBoone
+18282641100,"OrthoCarolina, Foot & Ankle and Hip & Knee Office",https://www.orthocarolina.com/locations/boone?utm_source=GMBSocialClimb&utm_medium=OrthoCarolinaBoone
+17043233668,Asheville Orthopaedic Associates and Mission - Asheville,"http://www.orthocarolina.com/locations/office-listing?utm_source=GMBSocialClimb&utm_medium=OrthoCarolina,Foot&AnkleandHip&KneeOffice"
+17043233668,Cape Fear Orthopedics & Sports Medicine - Ramsey,"http://www.orthocarolina.com/locations/office-listing?utm_source=GMBSocialClimb&utm_medium=OrthoCarolina,Foot&AnkleandHip&KneeOffice"
+19104843332,Cape Fear Orthopedics & Sports Medicine of Cape Fear Valley Health-Ferncreek,https://www.capefearortho.com/locations/?utm_source=GMBSocialcLimb
+19104842171,OrthoCarolina Huntersville,https://www.capefearvalley.com/locations/cape-fear-orthopedics-sports-medicine
+19104842171,"Frank V. Aluisio, MD",https://www.capefearvalley.com/locations/cape-fear-orthopedics-sports-medicine
+19104842171,Carolina Orthopaedic & Neurosurgical Associates,https://www.capefearvalley.com/locations/cape-fear-orthopedics-sports-medicine
+19104842171,Central Carolina Sports and Orthopedic Medicine,https://www.capefearvalley.com/locations/cape-fear-orthopedics-sports-medicine
+19197085031,"Carolina Regional Orthopaedics, PA",http://www.centralcarolinaphysicians.com/
+19197085031,OrthoNC: Knightdale Orthopaedic Physical Therapy,http://www.centralcarolinaphysicians.com/
+19197085031,EmergeOrtho Burgaw Orthopedic Clinic,http://www.centralcarolinaphysicians.com/
